"ID","Índice","Usuario","Base Datos","Tipo","Estado","Error","Código Error","Filas Afectadas","SQL","Timestamp"
"1","1","jteller","JTELLERV7","UPDATE","EXITOSO","","","1","UPDATE jtellerv7.DATABASECHANGELOG SET MD5SUM ='9:646a48206a7dc270854b813344cb95fb' WHERE id = 'init-conf'","2026-03-05T18:41:40.855Z"
"11","11","jteller","JTELLERV7","UPDATE","EXITOSO","","","25","UPDATE jtellerv7.ROUTINE SET TYPE_ROUTINE_ID = 39 WHERE TYPE_ROUTINE_ID NOT IN (27,40,41,42) AND EXEC_LAYER IN (2,3)","2026-03-05T18:41:43.133Z"
"12","12","jteller","JTELLERV7","DELETE","EXITOSO","","","13","DELETE FROM jtellerv7.TYPE_ROUTINE where id < 39 and id not in (27)","2026-03-05T18:41:43.339Z"
"13","13","jteller","JTELLERV7","INSERT","EXITOSO","","","1","INSERT INTO jtellerv7.TYPE_ROUTINE(ID, NAME, DESCRIPTION, CODE, VERSION) VALUES(3, 'ANTES DE HOST', 'se ejecutan al confirmar la transaccion, antes de enviar la transaccion a procesar al host y su respuesta es enviada la host al enviar a procesar la transaccion.', 3, 0)","2026-03-05T18:41:43.559Z"
"14","14","jteller","JTELLERV7","INSERT","EXITOSO","","","1","INSERT INTO jtellerv7.TYPE_ROUTINE(ID, NAME, DESCRIPTION, CODE, VERSION) VALUES(4, 'DESPUES DE HOST', 'se ejecutan inmediatamente recibir la respuesta del host, estas reciben la respuesta del host, se pueden usar para validaciones de la respuesta recibida del host', 4, 0)","2026-03-05T18:41:43.777Z"
"15","15","jteller","JTELLERV7","INSERT","EXITOSO","","","1","INSERT INTO jtellerv7.TYPE_ROUTINE(ID, NAME, DESCRIPTION, CODE, VERSION) VALUES(6, 'DE CAMPO', 'se ejecutan cada vez que recibe la transaccion a procesar, estas se ejecutan en tiempo de las validaciones standard de jTeller-core si el campo tiene una rutina asociada.', 6, 0)","2026-03-05T18:41:43.997Z"
"16","16","jteller","JTELLERV7","INSERT","EXITOSO","","","1","INSERT INTO jtellerv7.TYPE_ROUTINE(ID, NAME, DESCRIPTION, CODE, VERSION) VALUES(9, 'DE VALIDACION', 'se ejecutan cada vez que recibe la transaccion a procesar ANTES de las validaciones standard de JTeller-core sin importar el paso que se este ejecutando.', 9, 0)","2026-03-05T18:41:44.208Z"
"17","17","jteller","JTELLERV7","INSERT","EXITOSO","","","1","INSERT INTO jtellerv7.TYPE_ROUTINE(ID, NAME, DESCRIPTION, CODE, VERSION) VALUES(10, 'FINALIZACION OK', 'se ejecutan si la transaccion fue aceptada, se ha relizado todos los procesos posteriores y se esta preparando la respuesta al Frontend para informar al usuario que la transaccion se realizo existosamente y se procede con la generacion de comprobantes', 10, 0)","2026-03-05T18:41:44.428Z"
"18","18","jteller","JTELLERV7","INSERT","EXITOSO","","","1","INSERT INTO jtellerv7.TYPE_ROUTINE(ID, NAME, DESCRIPTION, CODE, VERSION) VALUES(11, 'DE ACEPTACION', 'se ejecutan si la transaccion fue aceptada (estado= completed) despues de procesar la respuesta, asignar su estado, evaluar reglas de negocio y guardar transaccion', 11, 0)","2026-03-05T18:41:44.644Z"
"19","19","jteller","JTELLERV7","INSERT","EXITOSO","","","1","INSERT INTO jtellerv7.TYPE_ROUTINE(ID, NAME, DESCRIPTION, CODE, VERSION) VALUES(12, 'DE CANCELACION', 'se ejecutan si la transaccion se recibe en modo Cancelar, ANTES se guardan registros de Sumadora, se evalua si es permito cancelar la transaccion o se requiere pedir autorizacion.', 12, 0)","2026-03-05T18:41:44.854Z"
"20","20","jteller","JTELLERV7","INSERT","EXITOSO","","","1","INSERT INTO jtellerv7.TYPE_ROUTINE(ID, NAME, DESCRIPTION, CODE, VERSION) VALUES(13, 'DE RECHAZO', 'se ejecutan si la transaccion fue rechazada (estado= Rejected) despues de procesar la respuesta, asignar su estado y guardar la transaccion', 13, 0)","2026-03-05T18:41:45.079Z"
"21","21","jteller","JTELLERV7","INSERT","EXITOSO","","","1","INSERT INTO jtellerv7.TYPE_ROUTINE(ID, NAME, DESCRIPTION, CODE, VERSION) VALUES(19, 'ANTES DE AFECTAR TOTALES', 'se ejecutan si la transaccion fue aceptada, antes de afectar totales y despues de las rutinas tipo 11=De Aprobacion', 19, 0)","2026-03-05T18:41:45.292Z"
"22","22","jteller","JTELLERV7","INSERT","EXITOSO","","","1","INSERT INTO jtellerv7.TYPE_ROUTINE(ID, NAME, DESCRIPTION, CODE, VERSION) VALUES(21, 'DE IMPRESION', 'se ejecutan si la transaccion fue aceptada en tiempo de calcular/ generar el comprobante, si fuera que el tipo de dato del formato tiene una rutina asociada, la respuesta de esta es inyectada en el JSON enviado al recurso que genera el comprobante.', 21, 0)","2026-03-05T18:41:45.512Z"
"23","23","jteller","JTELLERV7","INSERT","EXITOSO","","","1","INSERT INTO jtellerv7.TYPE_ROUTINE (ID, NAME, DESCRIPTION, CODE, VERSION) VALUES(14, 'DE CARGA', 'se ejecutan al entrar a Operaciones, despues de las rutinas de LOGIN', 14, 0)","2026-03-05T18:41:45.746Z"
"24","24","jteller","JTELLERV7","INSERT","EXITOSO","","","1","INSERT INTO jtellerv7.TYPE_ROUTINE (ID, NAME, DESCRIPTION, CODE, VERSION) VALUES(32, 'SALIDA DE OPERACIONES', 'se ejecutan al hacer LOGOUT', 32, 0)","2026-03-05T18:41:45.977Z"
"25","25","jteller","JTELLERV7","INSERT","EXITOSO","","","1","INSERT INTO jtellerv7.TYPE_ROUTINE (ID, NAME, DESCRIPTION, CODE, VERSION) VALUES(37, 'ENTRADA A TRANSACCION-GENERAL', 'se ejecutan cada vez que se selecciona la ejecucion de una transaccion, no necesita estar definida en la transaccion', 37, 0)","2026-03-05T18:41:46.195Z"
"2","2","jteller","JTELLERV7","INSERT","DUPLICADO","Duplicate entry '999' for key 'TRANSACTION_SEND_SPEC.PRIMARY'","ER_DUP_ENTRY","","INSERT INTO jtellerv7.TRANSACTION_SEND_SPEC (ID, TRANSACTION_SPEC_ID, DESCRIPTION, SERVICE_PAY_ID, REQUIRES_LOGIN, ROUTINE_LOGIN_ID, FORMAT_ID_SEND, PGM_DATA_SEND, TYPE_DATA_SEND, ROUTINE_ID, TYPE_DATA_RECEIVE, RESPONSE_FILE, PGM_DATA_RECEIVE, ANALYZE_RESPONSE, CORRELATIVE, VERSION) VALUES(999, NULL, 'Enviar transacciones generico a core byte', NULL, '0', NULL, NULL, NULL, 'Trama', NULL, 'Trama', NULL, NULL, '1', 999, 2)","2026-03-05T18:41:41.090Z"
"6","6","jteller","JTELLERV7","INSERT","DUPLICADO","Duplicate entry '39' for key 'TYPE_ROUTINE.PRIMARY'","ER_DUP_ENTRY","","INSERT INTO jtellerv7.TYPE_ROUTINE (ID, NAME, DESCRIPTION, CODE, VERSION) VALUES(39, 'COMPONENTE ANGULAR', 'rutinas tipo componente Angular, incluye los componentes propios de jTeller-core y las extensiones de FE o paginas web externas al core jTeller, se asocian en el flujo de la transacción y se ejecutan por el FE en el flujo de la transacción.', 39, 1)","2026-03-05T18:41:42.021Z"
"7","7","jteller","JTELLERV7","INSERT","DUPLICADO","Duplicate entry '40' for key 'TYPE_ROUTINE.PRIMARY'","ER_DUP_ENTRY","","INSERT INTO jtellerv7.TYPE_ROUTINE (ID, NAME, DESCRIPTION, CODE, VERSION) VALUES(40, 'APIs DEL FLUJO DE TRANSACCION', 'APIs ejecutados en los pasos del flujo de transaccion, ya sea ejecutados por FE o BE', 40, 0)","2026-03-05T18:41:42.235Z"
"8","8","jteller","JTELLERV7","INSERT","DUPLICADO","Duplicate entry '27' for key 'TYPE_ROUTINE.PRIMARY'","ER_DUP_ENTRY","","INSERT INTO jtellerv7.TYPE_ROUTINE (ID, NAME, DESCRIPTION, CODE, VERSION) VALUES(27, 'INGRESO A OPERACION/LOGIN', 'APIs ejecutados al entrar a operar JTeller o sea al hacer LOGIN', 27, 0)","2026-03-05T18:41:42.448Z"
"9","9","jteller","JTELLERV7","INSERT","DUPLICADO","Duplicate entry '41' for key 'TYPE_ROUTINE.PRIMARY'","ER_DUP_ENTRY","","INSERT INTO jtellerv7.TYPE_ROUTINE (ID, NAME, DESCRIPTION, CODE, VERSION) VALUES(41, 'PRE-TRASLADO', 'rutinas a ejecutarse ""antes"" de trasladar un usuario entre agencias, se ejecutan por transacción cambio de usuario.', 41, 0)","2026-03-05T18:41:42.698Z"
"10","10","jteller","JTELLERV7","INSERT","DUPLICADO","Duplicate entry '42' for key 'TYPE_ROUTINE.PRIMARY'","ER_DUP_ENTRY","","INSERT INTO jtellerv7.TYPE_ROUTINE (ID, NAME, DESCRIPTION, CODE, VERSION) VALUES(42, 'POST-TRASLADO', 'rutinas a ejecutarse ""después"" de trasladar a usuario entre agencias, se ejecutan por transacción cambio de usuario.', 42, 0)","2026-03-05T18:41:42.915Z"
"27","27","jsigcommon","JSIGCOMMON","INSERT","DUPLICADO","Duplicate entry '5-6' for key 'ENTITY_TRANSITIONS.U_TRANSITIONS'","ER_DUP_ENTRY","","INSERT INTO jsigcommon.ENTITY_TRANSITIONS (VERSION, FROM_STATUS_ID, TO_STATUS_ID, NAME, PERMISSION_REQUIRED, REQUIRES_MOTIVE, TRANSITION_TYPE, MOTIVE_TYPE_ID) VALUES(0, 5, 6, 'Activar firma', NULL, 'I', 'I', NULL)","2026-03-05T18:41:46.609Z"
"28","28","jsigcommon","JSIGCOMMON","INSERT","DUPLICADO","Duplicate entry '6-7' for key 'ENTITY_TRANSITIONS.U_TRANSITIONS'","ER_DUP_ENTRY","","INSERT INTO jsigcommon.ENTITY_TRANSITIONS (VERSION, FROM_STATUS_ID, TO_STATUS_ID, NAME, PERMISSION_REQUIRED, REQUIRES_MOTIVE, TRANSITION_TYPE, MOTIVE_TYPE_ID) VALUES(0, 6, 7, 'Inactivar firma', NULL, 'A', 'I', 2)","2026-03-05T18:41:46.822Z"
"29","29","jsigcommon","JSIGCOMMON","INSERT","DUPLICADO","Duplicate entry '6-9' for key 'ENTITY_TRANSITIONS.U_TRANSITIONS'","ER_DUP_ENTRY","","INSERT INTO jsigcommon.ENTITY_TRANSITIONS (VERSION, FROM_STATUS_ID, TO_STATUS_ID, NAME, PERMISSION_REQUIRED, REQUIRES_MOTIVE, TRANSITION_TYPE, MOTIVE_TYPE_ID) VALUES(0, 6, 9, 'Vencer firma', NULL, 'I', 'I', NULL)","2026-03-05T18:41:47.034Z"
"30","30","jsigcommon","JSIGCOMMON","INSERT","DUPLICADO","Duplicate entry '6-8' for key 'ENTITY_TRANSITIONS.U_TRANSITIONS'","ER_DUP_ENTRY","","INSERT INTO jsigcommon.ENTITY_TRANSITIONS (VERSION, FROM_STATUS_ID, TO_STATUS_ID, NAME, PERMISSION_REQUIRED, REQUIRES_MOTIVE, TRANSITION_TYPE, MOTIVE_TYPE_ID) VALUES(0, 6, 8, 'Eliminar firma', NULL, 'A', 'I', 2)","2026-03-05T18:41:47.273Z"
"31","31","jsigcommon","JSIGCOMMON","INSERT","DUPLICADO","Duplicate entry '7-6' for key 'ENTITY_TRANSITIONS.U_TRANSITIONS'","ER_DUP_ENTRY","","INSERT INTO jsigcommon.ENTITY_TRANSITIONS (VERSION, FROM_STATUS_ID, TO_STATUS_ID, NAME, PERMISSION_REQUIRED, REQUIRES_MOTIVE, TRANSITION_TYPE, MOTIVE_TYPE_ID) VALUES(0, 7, 6, 'Activar firma Inactiva >Activa', NULL, 'I', 'I', NULL)","2026-03-05T18:41:47.480Z"
"3","3","jteller","JTELLERV7","UPDATE","FALLIDO","You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '"KEY"='status', LABEL='sts', VALUE_OK='1' WHERE ID=1' at line 1","ER_PARSE_ERROR","","UPDATE jtellerv7.RESPONSE_JSON_TAGS SET ENVIRONMENT='jteller', ""KEY""='status', LABEL='sts', VALUE_OK='1' WHERE ID=1","2026-03-05T18:41:41.324Z"
"4","4","jteller","JTELLERV7","UPDATE","FALLIDO","You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '"KEY"='message', LABEL='message', VALUE_OK=NULL WHERE ID=2' at line 1","ER_PARSE_ERROR","","UPDATE jtellerv7.RESPONSE_JSON_TAGS SET ENVIRONMENT='jteller', ""KEY""='message', LABEL='message', VALUE_OK=NULL WHERE ID=2","2026-03-05T18:41:41.540Z"
"5","5","jteller","JTELLERV7","UPDATE","FALLIDO","You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '"KEY"='errorCode', LABEL='error', VALUE_OK=NULL WHERE ID=3' at line 1","ER_PARSE_ERROR","","UPDATE jtellerv7.RESPONSE_JSON_TAGS SET ENVIRONMENT='jteller', ""KEY""='errorCode', LABEL='error', VALUE_OK=NULL WHERE ID=3","2026-03-05T18:41:41.790Z"
"26","26","jsigcommon","JSIGCOMMON","UPDATE","FALLIDO","Table 'jsigcommon.system_entity' doesn't exist","ER_NO_SUCH_TABLE","","UPDATE jsigcommon.system_entity SET name='ACCOUNT_SIGNATURE' WHERE ID = 2","2026-03-05T18:41:46.382Z"